arm,index,model,prompt_tokens,frontend_wait_s,local_scheduler_wait_s,prefill_wait_s,actual_prefill_service_s,decode_start_wait_s,ttft_s,tpot_s,e2e_s
D0,78,model_5,33,0.0007200241088867188,0.008074283599853516,0.48560023307800293,0.05798053741455078,0.03483843803405762,0.552375078201294,0.07622013540349455,27.30564260482788
D0,79,model_5,38,0.0005619525909423828,0.00833439826965332,0.4214327335357666,0.058058738708496094,0.03476285934448242,0.4883878231048584,0.08518115527321847,18.29124927520752
D0,80,model_6,136,0.0007014274597167969,0.004746437072753906,0.09062409400939941,0.05650210380554199,0.029124021530151367,0.1525740623474121,0.05152811453892635,4.171766996383667
D0,81,model_5,63,0.0006535053253173828,0.010585308074951172,0.028723716735839844,0.058071136474609375,0.034754276275634766,0.09803366661071777,0.0751620593170325,28.960264444351196
D0,82,model_3,18,0.000698089599609375,0.002806425094604492,0.009105682373046875,0.025142908096313477,0.05866885185241699,0.03775310516357422,0.049526749178767204,19.05602478981018
D0,83,model_2,224,0.0006265640258789062,0.0022859573364257812,0.027133703231811523,0.5174412727355957,0.028863906860351562,0.5474874973297119,0.02208909121426669,1.033447504043579
D0,84,model_5,1630,0.0009047985076904297,0.009921789169311523,0.38105082511901855,0.26491737365722656,0.12309885025024414,0.6567947864532471,0.0870688210672407,12.324016809463501
D0,85,model_5,380,0.0007851123809814453,0.007953166961669922,0.3924405574798584,0.08807897567749023,0.03254437446594238,0.4892578125,0.06946786642074584,1.878615140914917
D0,86,model_6,97,0.0006885528564453125,0.004837989807128906,0.09165763854980469,0.04636359214782715,0.028989315032958984,0.14354777336120605,0.03652618328730265,1.0201761722564697
D0,87,model_1,51,0.0009925365447998047,0.010970592498779297,0.007698774337768555,0.030986547470092773,0.02097344398498535,0.05064845085144043,0.033670076192953646,10.555712223052979
D0,88,model_6,226,0.0008189678192138672,0.0025131702423095703,0.017284154891967773,0.04754042625427246,0.07956504821777344,0.06815671920776367,0.05124536844400259,1.400536298751831
D0,89,model_3,10,0.0005598068237304688,0.002323627471923828,0.09674668312072754,0.027333498001098633,0.07838797569274902,0.12696361541748047,0.05247736655944607,14.873103618621826
D0,90,model_1,19,0.0007519721984863281,0.010540246963500977,0.037726640701293945,0.0287477970123291,0.2553715705871582,0.07776665687561035,0.031125310751108023,2.100911855697632
D0,91,model_3,57,0.00046062469482421875,0.009299039840698242,0.013626813888549805,0.028110980987548828,0.026334762573242188,0.051497459411621094,0.05284679742684042,14.108745574951172
D0,92,model_4,399,0.0006444454193115234,0.009986639022827148,0.265700101852417,0.05151057243347168,0.02631402015686035,0.32784175872802734,0.027848199009895325,0.7734129428863525
D0,93,model_5,71,0.0006847381591796875,0.00044655799865722656,0.00716710090637207,0.03770637512207031,0.06666827201843262,0.0460047721862793,0.07344806008040905,28.250059843063354
D0,94,model_6,608,0.0006356239318847656,0.003838062286376953,0.01590728759765625,0.0954735279083252,0.028682231903076172,0.11585450172424316,0.03693072497844696,0.7067461013793945
D0,95,model_5,505,0.0005939006805419922,0.009567975997924805,0.00417780876159668,0.10536050796508789,0.07894015312194824,0.11970019340515137,0.055786967277526855,1.012291669845581
D0,96,model_3,12,0.0004918575286865234,0.009221315383911133,0.0014781951904296875,0.03678584098815918,0.026792049407958984,0.04797720909118652,0.05047172619746282,16.4512882232666
D0,97,model_5,61,0.0011172294616699219,0.0030412673950195312,0.014739274978637695,0.04496908187866211,0.0330958366394043,0.06386685371398926,0.07670988265733074,20.468695640563965
D0,98,model_4,42,0.00044536590576171875,0.0015478134155273438,0.02576589584350586,0.027069807052612305,0.03002619743347168,0.05482888221740723,0.04571345510582129,17.608795642852783
D0,99,model_1,415,0.0011169910430908203,0.009180068969726562,0.19220709800720215,0.04015779495239258,0.018312692642211914,0.2426619529724121,0.0178528137696095,0.9389216899871826
D0,100,model_6,53,0.0008127689361572266,0.0075871944427490234,0.01178288459777832,0.042646169662475586,0.03298139572143555,0.06282901763916016,0.04964075982570648,0.8570811748504639
D0,101,model_5,239,0.0004892349243164062,0.010264396667480469,0.18039345741271973,0.057422637939453125,0.032570600509643555,0.24856972694396973,0.03577287495136261,0.8209357261657715
D0,102,model_6,338,0.0007648468017578125,0.008566617965698242,0.16289353370666504,0.09555673599243164,0.03163480758666992,0.26778173446655273,0.05201635360717773,1.8282723426818848
D0,103,model_3,10,0.0004622936248779297,0.010370731353759766,0.09852027893066406,0.015460014343261719,0.03035116195678711,0.12481331825256348,0.04825945136447748,18.656442642211914
D0,104,model_3,25,0.0004286766052246094,0.0043430328369140625,0.05549144744873047,0.015505075454711914,0.030307531356811523,0.07576823234558105,0.0482610979427894,18.60802984237671
D0,105,model_4,209,0.0007157325744628906,0.004185914993286133,0.017563343048095703,0.019503355026245117,0.03145956993103027,0.041968345642089844,0.050195177989219554,6.76812219619751
D0,106,model_5,38,0.0008018016815185547,0.0025954246520996094,0.0033991336822509766,0.03765535354614258,0.033922433853149414,0.04445171356201172,0.0789141420458184,19.2995023727417
D0,107,model_6,75,0.0011568069458007812,0.0012459754943847656,0.09272527694702148,0.029232025146484375,0.08138251304626465,0.1243600845336914,0.06318587064743042,1.1353340148925781
D0,108,model_5,22,0.0005793571472167969,0.010386943817138672,0.08188080787658691,0.029205322265625,1.0214643478393555,0.12205243110656738,0.07250761551161607,27.96497678756714
D0,109,model_5,1011,0.000985860824584961,0.008574962615966797,0.057570695877075195,0.08293771743774414,0.885627269744873,0.1500692367553711,0.10083033073516119,8.619817018508911
D0,110,model_3,572,0.0006690025329589844,0.010235071182250977,0.026965618133544922,0.890509843826294,0.19999361038208008,0.9283795356750488,0.09462893009185791,2.4424424171447754
D0,111,model_3,1538,0.0006692409515380859,0.006210803985595703,0.015852689743041992,0.8905420303344727,0.19996285438537598,0.9132747650146484,0.047286879176824864,17.700116872787476
D0,112,model_5,114,0.0011470317840576172,0.005825996398925781,0.49019885063171387,0.2959444522857666,0.13354802131652832,0.7931163311004639,0.09061710779056993,8.586187601089478
D0,113,model_5,26,0.0005860328674316406,0.004525184631347656,0.4263486862182617,0.2959716320037842,0.13352227210998535,0.7274315357208252,0.07019712279240291,27.68312668800354
D0,114,model_3,373,0.0005252361297607422,0.0011518001556396484,0.5263285636901855,0.14548635482788086,0.01876688003540039,0.6734919548034668,0.04901146175853438,15.425941944122314
D0,115,model_5,652,0.0006859302520751953,0.0061206817626953125,0.34271883964538574,0.08610248565673828,0.04549551010131836,0.43562793731689453,0.09835998713970184,2.009387731552124
D0,116,model_1,21,0.0007293224334716797,0.01007533073425293,0.018443822860717773,0.013290166854858398,0.012542724609375,0.04253864288330078,0.03381578612133739,8.3612220287323
